InputClass,ClassAccuracy
airport,0.8666666666666667
airport_hangar,0.8
airport_terminal,0.8666666666666667
amusement_park,0.6666666666666666
aquaculture,0.9333333333333333
archaeological_site,0.8
barn,0.7333333333333333
border_checkpoint,0.26666666666666666
burial_site,0.6666666666666666
car_dealership,0.4666666666666667
construction_site,0.5333333333333333
crop_field,0.5333333333333333
dam,0.6666666666666666
debris_or_rubble,0.6666666666666666
educational_institution,0.6666666666666666
electric_substation,0.4666666666666667
factory_or_powerplant,0.4
fire_station,0.26666666666666666
flooded_road,0.8666666666666667
fountain,0.4666666666666667
gas_station,0.3333333333333333
golf_course,0.6666666666666666
ground_transportation_station,0.26666666666666666
helipad,0.4666666666666667
hospital,0.6
impoverished_settlement,1.0
interchange,0.8666666666666667
lake_or_pond,1.0
lighthouse,0.8
military_facility,0.3333333333333333
multi-unit_residential,0.6
nuclear_powerplant,0.7333333333333333
office_building,0.26666666666666666
oil_or_gas_facility,0.3333333333333333
park,0.3333333333333333
parking_lot_or_garage,0.3333333333333333
place_of_worship,0.6
police_station,0.5333333333333333
port,0.8
prison,0.4666666666666667
race_track,1.0
railway_bridge,0.7333333333333333
recreational_facility,0.6666666666666666
road_bridge,0.5333333333333333
runway,0.8
shipyard,0.5
shopping_mall,0.6666666666666666
single-unit_residential,0.4666666666666667
smokestack,0.4666666666666667
solar_farm,0.8
space_facility,0.7142857142857143
stadium,1.0
storage_tank,0.8
surface_mine,1.0
swimming_pool,0.8666666666666667
toll_booth,0.8666666666666667
tower,0.4666666666666667
tunnel_opening,0.9333333333333333
waste_disposal,0.35714285714285715
water_treatment_facility,0.6666666666666666
wind_farm,0.8666666666666667
zoo,0.9333333333333333
