InputClass,ClassAccuracy
airport,0.2
airport_hangar,0.26666666666666666
airport_terminal,0.06666666666666667
amusement_park,0.2
aquaculture,0.5333333333333333
archaeological_site,0.13333333333333333
barn,0.0
border_checkpoint,0.0
burial_site,0.2
car_dealership,0.0
construction_site,0.13333333333333333
crop_field,0.06666666666666667
dam,0.06666666666666667
debris_or_rubble,0.4666666666666667
educational_institution,0.0
electric_substation,0.0
factory_or_powerplant,0.13333333333333333
fire_station,0.0
flooded_road,0.0
fountain,0.06666666666666667
gas_station,0.0
golf_course,0.3333333333333333
ground_transportation_station,0.13333333333333333
helipad,0.0
hospital,0.0
impoverished_settlement,0.5333333333333333
interchange,0.5333333333333333
lake_or_pond,0.0
lighthouse,0.2
military_facility,0.0
multi-unit_residential,0.0
nuclear_powerplant,0.5333333333333333
office_building,0.13333333333333333
oil_or_gas_facility,0.4
park,0.06666666666666667
parking_lot_or_garage,0.06666666666666667
place_of_worship,0.4
police_station,0.0
port,0.4
prison,0.26666666666666666
race_track,0.4666666666666667
railway_bridge,0.06666666666666667
recreational_facility,0.0
road_bridge,0.26666666666666666
runway,0.7333333333333333
shipyard,0.14285714285714285
shopping_mall,0.13333333333333333
single-unit_residential,0.06666666666666667
smokestack,0.26666666666666666
solar_farm,0.06666666666666667
space_facility,0.7142857142857143
stadium,0.8
storage_tank,0.26666666666666666
surface_mine,0.13333333333333333
swimming_pool,0.4
toll_booth,0.13333333333333333
tower,0.06666666666666667
tunnel_opening,0.7333333333333333
waste_disposal,0.0
water_treatment_facility,0.26666666666666666
wind_farm,0.5333333333333333
zoo,0.06666666666666667
